Epoch [17/50] Step 600 | Loss W: 0.1395 | Loss A: 0.4532
Epoch [17/50] Step 700 | Loss W: 0.0771 | Loss A: 0.7730
Epoch [18/50] Step 0 | Loss W: 0.1716 | Loss A: 0.7283
Epoch [18/50] Step 100 | Loss W: 0.2102 | Loss A: 0.5232
Epoch [18/50] Step 200 | Loss W: 0.0965 | Loss A: 1.4713
Epoch [18/50] Step 300 | Loss W: 0.2495 | Loss A: 0.6559
Epoch [18/50] Step 400 | Loss W: 0.2789 | Loss A: 0.4689
Epoch [18/50] Step 500 | Loss W: 0.1652 | Loss A: 0.3993
Epoch [18/50] Step 600 | Loss W: 0.0398 | Loss A: 0.8161
Epoch [18/50] Step 700 | Loss W: 0.3040 | Loss A: 0.6448
Epoch [19/50] Step 0 | Loss W: 0.0977 | Loss A: 0.4865
Epoch [19/50] Step 100 | Loss W: 0.0348 | Loss A: 0.3902
Epoch [19/50] Step 200 | Loss W: 0.1028 | Loss A: 0.6306
Epoch [19/50] Step 300 | Loss W: 0.1705 | Loss A: 0.9033
Epoch [19/50] Step 400 | Loss W: 0.2365 | Loss A: 0.2518
Epoch [19/50] Step 500 | Loss W: 0.1706 | Loss A: 0.9885
Epoch [19/50] Step 600 | Loss W: 0.1584 | Loss A: 0.6263
Epoch [19/50] Step 700 | Loss W: 0.4550 | Loss A: 0.5049
Epoch [20/50] Step 0 | Loss W: 0.0325 | Loss A: 1.0008
Epoch [20/50] Step 100 | Loss W: 0.1232 | Loss A: 1.0281
Epoch [20/50] Step 200 | Loss W: 0.0915 | Loss A: 0.1549
Epoch [20/50] Step 300 | Loss W: 0.0242 | Loss A: 0.6179
Epoch [20/50] Step 400 | Loss W: 0.1486 | Loss A: 0.7956
Epoch [20/50] Step 500 | Loss W: 0.2309 | Loss A: 0.4602
Epoch [20/50] Step 600 | Loss W: 0.2419 | Loss A: 0.6871
Epoch [20/50] Step 700 | Loss W: 0.3245 | Loss A: 0.6249
Epoch [21/50] Step 0 | Loss W: 0.1566 | Loss A: 0.9312
Epoch [21/50] Step 100 | Loss W: 0.0937 | Loss A: 1.1168
Epoch [21/50] Step 200 | Loss W: 0.0927 | Loss A: 0.3658
Epoch [21/50] Step 300 | Loss W: 0.1753 | Loss A: 0.8260
Epoch [21/50] Step 400 | Loss W: 0.0955 | Loss A: 0.3834
Epoch [21/50] Step 500 | Loss W: 0.1354 | Loss A: 0.6036
Epoch [21/50] Step 600 | Loss W: 0.0731 | Loss A: 1.1303
Epoch [21/50] Step 700 | Loss W: 0.1943 | Loss A: 0.6159
Epoch [22/50] Step 0 | Loss W: 0.0152 | Loss A: 0.8623
Epoch [22/50] Step 100 | Loss W: 0.0286 | Loss A: 1.0783
Epoch [22/50] Step 200 | Loss W: 0.0355 | Loss A: 0.2816
Epoch [22/50] Step 300 | Loss W: 0.0529 | Loss A: 0.2439
Epoch [22/50] Step 400 | Loss W: 0.0510 | Loss A: 0.7064
Epoch [22/50] Step 500 | Loss W: 0.0949 | Loss A: 0.4672
Epoch [22/50] Step 600 | Loss W: 0.0169 | Loss A: 0.6373
Epoch [22/50] Step 700 | Loss W: 0.0990 | Loss A: 0.3750
Epoch [23/50] Step 0 | Loss W: 0.0131 | Loss A: 0.8647
Epoch [23/50] Step 100 | Loss W: 0.1695 | Loss A: 0.3700
Epoch [23/50] Step 200 | Loss W: 0.0850 | Loss A: 0.5801
Epoch [23/50] Step 300 | Loss W: 0.0231 | Loss A: 0.9095
Epoch [23/50] Step 400 | Loss W: 0.0414 | Loss A: 0.5684
Epoch [23/50] Step 500 | Loss W: 0.2343 | Loss A: 1.1500
Epoch [23/50] Step 600 | Loss W: 0.0880 | Loss A: 0.3749
Epoch [23/50] Step 700 | Loss W: 0.1348 | Loss A: 0.6090
Epoch [24/50] Step 0 | Loss W: 0.0500 | Loss A: 0.9421
Epoch [24/50] Step 100 | Loss W: 0.0629 | Loss A: 0.3445
Epoch [24/50] Step 200 | Loss W: 0.0347 | Loss A: 0.8510
Epoch [24/50] Step 300 | Loss W: 0.0316 | Loss A: 0.7032
Epoch [24/50] Step 400 | Loss W: 0.0169 | Loss A: 0.4190
Epoch [24/50] Step 500 | Loss W: 0.0266 | Loss A: 0.4718
Epoch [24/50] Step 600 | Loss W: 0.0157 | Loss A: 0.4194
Epoch [24/50] Step 700 | Loss W: 0.1227 | Loss A: 0.5649
Epoch [25/50] Step 0 | Loss W: 0.1135 | Loss A: 0.8130
Epoch [25/50] Step 100 | Loss W: 0.1127 | Loss A: 0.5611
Epoch [25/50] Step 200 | Loss W: 0.1651 | Loss A: 0.4228
Epoch [25/50] Step 300 | Loss W: 0.0859 | Loss A: 0.3025
Epoch [25/50] Step 400 | Loss W: 0.0420 | Loss A: 0.3235
Epoch [25/50] Step 500 | Loss W: 0.2232 | Loss A: 0.2653
Epoch [25/50] Step 600 | Loss W: 0.1455 | Loss A: 0.5398
Epoch [25/50] Step 700 | Loss W: 0.2479 | Loss A: 0.4344
Epoch [26/50] Step 0 | Loss W: 0.0665 | Loss A: 0.8664
