arg1,relation,arg2
elements,imm)MOD,bits
CRm,op2,PSTATE
exception,occurs,result
AccessestothisregisterusethefollowingencodingsintheSystemregisterencodingspace,elsif,PSTATE
value,Enhanced,registers
elements,CheckStreamingSVEEnabled,DIV
EL2,Exists,state
access,using,example
level,resolves,bits
Applieswhen,fbits,Applieswhen
fault,elsif,accdesc
Decodeforthisencoding,add,UInt
AArch64,assert,HaveEL
ARMDDI0487,return,regime
values,returned,values
exception,Taken,mode
architecture,assumes,system
architecture,permits,PE
values,•SeeFixed,instruction
operand2,esize,IfPSTATE.DITis1
bits,msize,bits
Decodeforallvariantsofthisencoding,SEE,UInt
AArch32,assert,HaveEL
instruction,executed,state
DIV,=,bits
value,overlap,exception
state,pending,exception
table,Indexed,table
Decodeforthisencoding,SEE,ifRn=='1111
address,aligned,bits
Decodeforthisencoding,iftsz,if!IsFeatureImplemented
integer,transferred,if!IsFeatureImplemented
Fielddescriptions,ENABLE,Reserved
boolean,ifIsFeatureImplemented,boolean
bits,aligned,fault
if!IsFeatureImplemented,elsif,PSTATE
X[t,GCSPR_EL1,.EL==EL2
table,level0.FEAT_RASisnotimplemented,table
pointInstructionDescriptions,csize,IfPSTATE.DITis1
Zeros,result,SVEInstructionDescriptions
level,befollowing,EL3
operation,apending,exception
state,include,address
bits,CheckST64BV0Enabled,bits
Non,offset,SVEInstructionDescriptions
integer,s_esize,integer
CRm,ExecutingTLBIPVAE3IS,PSTATE
bit,calls,bits
value,read,memory
EL3,elsif,UInt
value,onsize,bits
elements,=,Elem
size,AArch64,size
bits,extfield,boolean
bits,tlb_entry,case
PL,offset,bits
EL2,elsif,HaveEL
ARMDDI0487,elsif,HaveEL
Theresetbehaviorofthisfieldis,elsif,PSTATE
