Time records (guesses, time):
Guesses: 2712631, Time: 0.124458 seconds
Guesses: 2712731, Time: 0.12481 seconds
Guesses: 2713731, Time: 0.125154 seconds
Guesses: 2713831, Time: 0.125473 seconds
Guesses: 2813981, Time: 0.126768 seconds
Guesses: 2814013, Time: 0.127098 seconds
Guesses: 2958975, Time: 0.128666 seconds
Guesses: 2980266, Time: 0.129205 seconds
Guesses: 2981266, Time: 0.129531 seconds
Guesses: 2981366, Time: 0.129863 seconds
Guesses: 2981466, Time: 0.130188 seconds
Guesses: 2981566, Time: 0.130573 seconds
Guesses: 2981666, Time: 0.130915 seconds
Guesses: 2981766, Time: 0.131236 seconds
Guesses: 2981866, Time: 0.131561 seconds
Guesses: 2981966, Time: 0.131887 seconds
Guesses: 2982966, Time: 0.132233 seconds
Guesses: 2983966, Time: 0.132573 seconds
Guesses: 2984066, Time: 0.132893 seconds
Guesses: 2993840, Time: 0.133292 seconds
Guesses: 2993940, Time: 0.133613 seconds
Guesses: 2994940, Time: 0.133986 seconds
Guesses: 3004714, Time: 0.134436 seconds
Guesses: 3104864, Time: 0.135616 seconds
Guesses: 3205014, Time: 0.138565 seconds
Guesses: 3214788, Time: 0.139027 seconds
Guesses: 3214820, Time: 0.139355 seconds
Guesses: 3314970, Time: 0.140536 seconds
Guesses: 3315002, Time: 0.14088 seconds
Guesses: 3415152, Time: 0.142055 seconds
Guesses: 3424926, Time: 0.142475 seconds
Guesses: 3525076, Time: 0.143637 seconds
Guesses: 3525176, Time: 0.143958 seconds
Guesses: 3625326, Time: 0.145104 seconds
Guesses: 3635100, Time: 0.145514 seconds
Guesses: 3644874, Time: 0.145923 seconds
Guesses: 3644906, Time: 0.146259 seconds
Guesses: 3654680, Time: 0.146694 seconds
Guesses: 3799642, Time: 0.148211 seconds
Guesses: 3899792, Time: 0.149414 seconds
Guesses: 3899892, Time: 0.149744 seconds
Guesses: 3909666, Time: 0.150165 seconds
Guesses: 4080351, Time: 0.151928 seconds
Guesses: 4090125, Time: 0.152331 seconds
Guesses: 4099899, Time: 0.152736 seconds
Guesses: 4099951, Time: 0.153057 seconds
Guesses: 4109725, Time: 0.153467 seconds
Guesses: 4109825, Time: 0.153787 seconds
Guesses: 4119599, Time: 0.154211 seconds
Guesses: 4119651, Time: 0.154547 seconds
Guesses: 4119751, Time: 0.154869 seconds
Guesses: 4129525, Time: 0.155267 seconds
Guesses: 4129625, Time: 0.155597 seconds
Guesses: 4139399, Time: 0.155988 seconds
Guesses: 4139451, Time: 0.156303 seconds
Guesses: 4139551, Time: 0.156639 seconds
Guesses: 4139651, Time: 0.156954 seconds
Guesses: 4143831, Time: 0.157203 seconds
Guesses: 4243981, Time: 0.172317 seconds
Guesses: 4243991, Time: 0.174713 seconds
Guesses: 4244991, Time: 0.175072 seconds
Guesses: 4245001, Time: 0.175425 seconds
