Time records (guesses, time):
Guesses: 4245001, Time: 0.174019 seconds
Guesses: 4246001, Time: 0.174247 seconds
Guesses: 4267292, Time: 0.174904 seconds
Guesses: 4268292, Time: 0.175131 seconds
Guesses: 4289583, Time: 0.175752 seconds
Guesses: 4289683, Time: 0.175963 seconds
Guesses: 4289783, Time: 0.176174 seconds
Guesses: 4289883, Time: 0.176389 seconds
Guesses: 4311174, Time: 0.176999 seconds
Guesses: 4312174, Time: 0.177232 seconds
Guesses: 4313174, Time: 0.177459 seconds
Guesses: 4313274, Time: 0.177691 seconds
Guesses: 4334565, Time: 0.178282 seconds
Guesses: 4334665, Time: 0.178499 seconds
Guesses: 4335665, Time: 0.178765 seconds
Guesses: 4345439, Time: 0.179156 seconds
Guesses: 4345471, Time: 0.179399 seconds
Guesses: 4345481, Time: 0.179633 seconds
Guesses: 4349442, Time: 0.180123 seconds
Guesses: 4366725, Time: 0.180434 seconds
Guesses: 4366735, Time: 0.180665 seconds
Guesses: 4366745, Time: 0.180881 seconds
Guesses: 4366755, Time: 0.181091 seconds
Guesses: 4366765, Time: 0.181301 seconds
Guesses: 4466915, Time: 0.183246 seconds
Guesses: 4467915, Time: 0.183495 seconds
Guesses: 4467925, Time: 0.183744 seconds
Guesses: 4467935, Time: 0.183961 seconds
Guesses: 4468935, Time: 0.184189 seconds
Guesses: 4469935, Time: 0.184416 seconds
Guesses: 4570085, Time: 0.186466 seconds
Guesses: 4591376, Time: 0.18711 seconds
Guesses: 4591386, Time: 0.18732 seconds
Guesses: 4591396, Time: 0.187528 seconds
Guesses: 4591406, Time: 0.187767 seconds
Guesses: 4591416, Time: 0.18798 seconds
Guesses: 4662279, Time: 0.189423 seconds
Guesses: 4662289, Time: 0.189653 seconds
Guesses: 4662299, Time: 0.189869 seconds
Guesses: 4663299, Time: 0.190102 seconds
Guesses: 4664299, Time: 0.190339 seconds
Guesses: 4664309, Time: 0.190546 seconds
Guesses: 4664409, Time: 0.19079 seconds
Guesses: 4664509, Time: 0.191003 seconds
Guesses: 4664609, Time: 0.191213 seconds
Guesses: 4685900, Time: 0.19183 seconds
Guesses: 4686000, Time: 0.192057 seconds
Guesses: 4687000, Time: 0.192288 seconds
Guesses: 4688000, Time: 0.192517 seconds
Guesses: 4688100, Time: 0.192744 seconds
Guesses: 4709391, Time: 0.193343 seconds
Guesses: 4809541, Time: 0.195402 seconds
Guesses: 4830832, Time: 0.196055 seconds
Guesses: 4930982, Time: 0.198104 seconds
Guesses: 4952273, Time: 0.198749 seconds
Guesses: 4973564, Time: 0.199348 seconds
Guesses: 5044427, Time: 0.20081 seconds
Guesses: 5065718, Time: 0.201421 seconds
Guesses: 5065818, Time: 0.201658 seconds
Guesses: 5087109, Time: 0.202248 seconds
Guesses: 5187259, Time: 0.204307 seconds
Guesses: 5208550, Time: 0.204932 seconds
Guesses: 5229841, Time: 0.205529 seconds
Guesses: 5251132, Time: 0.206148 seconds
Guesses: 5272423, Time: 0.206776 seconds
Guesses: 5372573, Time: 0.208821 seconds
Guesses: 6522456, Time: 0.211519 seconds
Guesses: 5415155, Time: 0.21213 seconds
Guesses: 5417245, Time: 0.212381 seconds
Guesses: 5417277, Time: 0.212621 seconds
Guesses: 5417287, Time: 0.212833 seconds
Guesses: 5417387, Time: 0.213051 seconds
Guesses: 5417419, Time: 0.213266 seconds
Guesses: 5417519, Time: 0.213503 seconds
Guesses: 5417619, Time: 0.21372 seconds
Guesses: 5418619, Time: 0.213953 seconds
Guesses: 5418651, Time: 0.214164 seconds
Guesses: 5483344, Time: 0.21556 seconds
Guesses: 5484344, Time: 0.215822 seconds
Guesses: 5484444, Time: 0.216031 seconds
Guesses: 5549137, Time: 0.217371 seconds
Guesses: 5549237, Time: 0.217605 seconds
Guesses: 5549269, Time: 0.217822 seconds
Guesses: 5570560, Time: 0.218414 seconds
Guesses: 5580334, Time: 0.218847 seconds
Guesses: 5581334, Time: 0.219078 seconds
Guesses: 5591108, Time: 0.219578 seconds
Guesses: 5661971, Time: 0.22106 seconds
Guesses: 5683262, Time: 0.221682 seconds
Guesses: 5721399, Time: 0.22265 seconds
Guesses: 5865526, Time: 0.225459 seconds
Guesses: 5866526, Time: 0.225712 seconds
Guesses: 5866536, Time: 0.225926 seconds
Guesses: 5867536, Time: 0.226163 seconds
Guesses: 5868536, Time: 0.226394 seconds
Guesses: 5869536, Time: 0.226669 seconds
Guesses: 5869546, Time: 0.226888 seconds
Guesses: 5869646, Time: 0.227102 seconds
Guesses: 5869746, Time: 0.227321 seconds
Guesses: 5869846, Time: 0.227561 seconds
Guesses: 5870846, Time: 0.22779 seconds
Guesses: 6014973, Time: 0.230604 seconds
Guesses: 6015973, Time: 0.230856 seconds
Guesses: 6016073, Time: 0.231073 seconds
Guesses: 6160200, Time: 0.233847 seconds
Guesses: 6161200, Time: 0.234102 seconds
Guesses: 6161232, Time: 0.234319 seconds
Guesses: 6305359, Time: 0.237158 seconds
Guesses: 6306359, Time: 0.237414 seconds
Guesses: 6371052, Time: 0.238807 seconds
Guesses: 6372052, Time: 0.239035 seconds
Guesses: 6372152, Time: 0.239248 seconds
Guesses: 6436845, Time: 0.240609 seconds
Guesses: 7501217, Time: 0.242778 seconds
Guesses: 6501638, Time: 0.24419 seconds
Guesses: 6522929, Time: 0.244813 seconds
Guesses: 6523929, Time: 0.24504 seconds
Guesses: 6533703, Time: 0.245431 seconds
Guesses: 6533735, Time: 0.245661 seconds
Guesses: 6555026, Time: 0.246255 seconds
Guesses: 6556026, Time: 0.24653 seconds
Guesses: 6577317, Time: 0.247125 seconds
Guesses: 6648180, Time: 0.248645 seconds
Guesses: 6792307, Time: 0.251446 seconds
Guesses: 6802081, Time: 0.251904 seconds
Guesses: 6823372, Time: 0.252503 seconds
Guesses: 6833146, Time: 0.25292 seconds
Guesses: 6834146, Time: 0.253148 seconds
Guesses: 6934296, Time: 0.255196 seconds
Guesses: 6935296, Time: 0.255447 seconds
Guesses: 6956587, Time: 0.256086 seconds
Guesses: 6966361, Time: 0.256478 seconds
Guesses: 7066511, Time: 0.258558 seconds
Guesses: 7067511, Time: 0.258808 seconds
Guesses: 7077285, Time: 0.259193 seconds
Guesses: 7177435, Time: 0.261264 seconds
Guesses: 7187209, Time: 0.261687 seconds
Guesses: 7187241, Time: 0.261905 seconds
Guesses: 7197015, Time: 0.26229 seconds
Guesses: 7206789, Time: 0.262704 seconds
Guesses: 7216563, Time: 0.263093 seconds
Guesses: 7226337, Time: 0.263481 seconds
Guesses: 7370464, Time: 0.266228 seconds
