Time records (guesses, time):
Guesses: 5065818, Time: 0.163977 seconds
Guesses: 5087109, Time: 0.164361 seconds
Guesses: 5187259, Time: 0.165227 seconds
Guesses: 5208550, Time: 0.165792 seconds
Guesses: 5229841, Time: 0.166182 seconds
Guesses: 5251132, Time: 0.166548 seconds
Guesses: 5272423, Time: 0.167485 seconds
Guesses: 5372573, Time: 0.16843 seconds
Guesses: 5393864, Time: 0.170957 seconds
Guesses: 5415155, Time: 0.171353 seconds
Guesses: 5417245, Time: 0.171615 seconds
Guesses: 5417277, Time: 0.171871 seconds
Guesses: 5417287, Time: 0.1721 seconds
Guesses: 5417387, Time: 0.172327 seconds
Guesses: 5417419, Time: 0.172553 seconds
Guesses: 5417519, Time: 0.17278 seconds
Guesses: 5417619, Time: 0.173022 seconds
Guesses: 5418619, Time: 0.173254 seconds
Guesses: 5418651, Time: 0.173479 seconds
Guesses: 5483344, Time: 0.174131 seconds
Guesses: 5484344, Time: 0.174622 seconds
Guesses: 5484444, Time: 0.174882 seconds
Guesses: 5549137, Time: 0.17551 seconds
Guesses: 5549237, Time: 0.175747 seconds
Guesses: 5549269, Time: 0.175995 seconds
Guesses: 5570560, Time: 0.176413 seconds
Guesses: 5580334, Time: 0.176721 seconds
Guesses: 5581334, Time: 0.176978 seconds
Guesses: 5591108, Time: 0.177266 seconds
Guesses: 5661971, Time: 0.177979 seconds
Guesses: 5683262, Time: 0.178378 seconds
Guesses: 5721399, Time: 0.178895 seconds
Guesses: 5865526, Time: 0.180072 seconds
Guesses: 5866526, Time: 0.180431 seconds
Guesses: 5866536, Time: 0.181069 seconds
Guesses: 5867536, Time: 0.181544 seconds
Guesses: 5868536, Time: 0.181789 seconds
Guesses: 5869536, Time: 0.182051 seconds
Guesses: 5869546, Time: 0.182318 seconds
Guesses: 5869646, Time: 0.182546 seconds
Guesses: 5869746, Time: 0.182775 seconds
Guesses: 5869846, Time: 0.183039 seconds
Guesses: 5870846, Time: 0.18327 seconds
Guesses: 6014973, Time: 0.184412 seconds
Guesses: 6015973, Time: 0.184748 seconds
Guesses: 6016073, Time: 0.185001 seconds
Guesses: 6160200, Time: 0.186552 seconds
Guesses: 6161200, Time: 0.186942 seconds
Guesses: 6161232, Time: 0.187593 seconds
Guesses: 6305359, Time: 0.188735 seconds
Guesses: 6306359, Time: 0.189267 seconds
Guesses: 6371052, Time: 0.189923 seconds
Guesses: 6372052, Time: 0.190193 seconds
Guesses: 6372152, Time: 0.190426 seconds
Guesses: 6436845, Time: 0.19109 seconds
Guesses: 6436945, Time: 0.193057 seconds
Guesses: 6501638, Time: 0.193694 seconds
Guesses: 6522929, Time: 0.194079 seconds
Guesses: 6523929, Time: 0.194316 seconds
Guesses: 6533703, Time: 0.194609 seconds
Guesses: 6533735, Time: 0.194838 seconds
Guesses: 6555026, Time: 0.19522 seconds
Guesses: 6556026, Time: 0.19563 seconds
Guesses: 6577317, Time: 0.196011 seconds
Guesses: 6648180, Time: 0.196685 seconds
Guesses: 6792307, Time: 0.197819 seconds
Guesses: 6802081, Time: 0.198292 seconds
Guesses: 6823372, Time: 0.198662 seconds
Guesses: 6833146, Time: 0.198974 seconds
Guesses: 6834146, Time: 0.199209 seconds
Guesses: 6934296, Time: 0.200073 seconds
Guesses: 6935296, Time: 0.200569 seconds
Guesses: 6956587, Time: 0.200973 seconds
Guesses: 6966361, Time: 0.20127 seconds
Guesses: 7066511, Time: 0.202471 seconds
Guesses: 7067511, Time: 0.202855 seconds
Guesses: 7077285, Time: 0.203166 seconds
Guesses: 7177435, Time: 0.204004 seconds
Guesses: 7187209, Time: 0.204332 seconds
Guesses: 7187241, Time: 0.204562 seconds
Guesses: 7197015, Time: 0.204853 seconds
Guesses: 7206789, Time: 0.205164 seconds
Guesses: 7216563, Time: 0.205593 seconds
Guesses: 7226337, Time: 0.205883 seconds
Guesses: 7370464, Time: 0.207399 seconds
Guesses: 7371464, Time: 0.207787 seconds
Guesses: 7371496, Time: 0.208039 seconds
Guesses: 7381270, Time: 0.208375 seconds
Guesses: 7481420, Time: 0.209213 seconds
Guesses: 7491194, Time: 0.211226 seconds
Guesses: 7500968, Time: 0.211547 seconds
Guesses: 7510742, Time: 0.211847 seconds
Guesses: 7510774, Time: 0.212106 seconds
Guesses: 7510806, Time: 0.212342 seconds
Guesses: 7510838, Time: 0.212579 seconds
Guesses: 7520612, Time: 0.212873 seconds
Guesses: 7520644, Time: 0.213121 seconds
Guesses: 7620794, Time: 0.213959 seconds
Guesses: 7720944, Time: 0.214856 seconds
Guesses: 7721944, Time: 0.215535 seconds
Guesses: 7822094, Time: 0.216485 seconds
Guesses: 7822126, Time: 0.216795 seconds
Guesses: 7822158, Time: 0.217076 seconds
Guesses: 7822190, Time: 0.217311 seconds
Guesses: 7823190, Time: 0.217543 seconds
Guesses: 7823222, Time: 0.217768 seconds
Guesses: 7824222, Time: 0.218045 seconds
Guesses: 7924372, Time: 0.218914 seconds
Guesses: 8068499, Time: 0.220175 seconds
Guesses: 8078273, Time: 0.220657 seconds
Guesses: 8080363, Time: 0.220907 seconds
Guesses: 8180513, Time: 0.22181 seconds
Guesses: 8182603, Time: 0.222316 seconds
Guesses: 8182635, Time: 0.222826 seconds
Guesses: 8282785, Time: 0.223727 seconds
Guesses: 8382935, Time: 0.225097 seconds
Guesses: 8483085, Time: 0.225937 seconds
Guesses: 8627212, Time: 0.22897 seconds
Guesses: 8698075, Time: 0.229739 seconds
Guesses: 8707849, Time: 0.230076 seconds
Guesses: 8807999, Time: 0.230984 seconds
Guesses: 8846136, Time: 0.23149 seconds
Guesses: 8846168, Time: 0.231745 seconds
Guesses: 8946318, Time: 0.232608 seconds
Guesses: 8946350, Time: 0.233008 seconds
Guesses: 8946382, Time: 0.233245 seconds
Guesses: 8956156, Time: 0.233569 seconds
Guesses: 8956256, Time: 0.233821 seconds
Guesses: 8994393, Time: 0.234538 seconds
Guesses: 8994425, Time: 0.234798 seconds
Guesses: 9139387, Time: 0.236427 seconds
Guesses: 9139419, Time: 0.236777 seconds
Guesses: 9239569, Time: 0.23764 seconds
Guesses: 9239669, Time: 0.237952 seconds
Guesses: 9383796, Time: 0.239092 seconds
Guesses: 9383828, Time: 0.239467 seconds
Guesses: 9383860, Time: 0.239721 seconds
Guesses: 9528822, Time: 0.240866 seconds
Guesses: 9699507, Time: 0.243964 seconds
Guesses: 9709281, Time: 0.244491 seconds
Guesses: 9853408, Time: 0.245563 seconds
Guesses: 9863182, Time: 0.245899 seconds
Guesses: 9863214, Time: 0.246158 seconds
Guesses: 9934077, Time: 0.247005 seconds
Guesses: 9936167, Time: 0.247292 seconds
Guesses: 10106852, Time: 0.248651 seconds
Guesses: 10106904, Time: 0.24903 seconds
Guesses: 10107004, Time: 0.249284 seconds
Guesses: 10145141, Time: 0.249755 seconds
Guesses: 10245291, Time: 0.250943 seconds
Guesses: 10245391, Time: 0.251333 seconds
Guesses: 10345541, Time: 0.252713 seconds
Guesses: 10345573, Time: 0.253159 seconds
Guesses: 10345673, Time: 0.253403 seconds
Guesses: 10345705, Time: 0.253632 seconds
Guesses: 10345805, Time: 0.253859 seconds
Guesses: 10416668, Time: 0.254558 seconds
Guesses: 10416700, Time: 0.254786 seconds
Guesses: 10426474, Time: 0.255128 seconds
Guesses: 10526624, Time: 0.255986 seconds
Guesses: 10528714, Time: 0.256524 seconds
Guesses: 10628864, Time: 0.257478 seconds
Guesses: 10699727, Time: 0.259952 seconds
Guesses: 10709501, Time: 0.260261 seconds
Guesses: 10709553, Time: 0.26052 seconds
Guesses: 10747690, Time: 0.261012 seconds
Guesses: 10847840, Time: 0.26194 seconds
Guesses: 10847940, Time: 0.262314 seconds
Guesses: 10857714, Time: 0.262634 seconds
Guesses: 10857814, Time: 0.262873 seconds
Guesses: 10928677, Time: 0.263815 seconds
Guesses: 10930767, Time: 0.264065 seconds
Guesses: 11030917, Time: 0.264984 seconds
Guesses: 11175879, Time: 0.266145 seconds
Guesses: 11246742, Time: 0.266991 seconds
Guesses: 11248832, Time: 0.267236 seconds
Guesses: 11348982, Time: 0.268105 seconds
Guesses: 11351072, Time: 0.268602 seconds
Guesses: 11351172, Time: 0.268855 seconds
Guesses: 11521857, Time: 0.270141 seconds
Guesses: 11523947, Time: 0.270551 seconds
Guesses: 11524047, Time: 0.270784 seconds
Guesses: 11624197, Time: 0.271637 seconds
Guesses: 11633971, Time: 0.272091 seconds
Guesses: 11636061, Time: 0.27234 seconds
Guesses: 11674198, Time: 0.272845 seconds
Guesses: 11674298, Time: 0.273132 seconds
Guesses: 11774448, Time: 0.274076 seconds
Guesses: 11812585, Time: 0.276453 seconds
Guesses: 11822359, Time: 0.276761 seconds
Guesses: 11860496, Time: 0.277232 seconds
Guesses: 11960646, Time: 0.27812 seconds
Guesses: 11970420, Time: 0.278655 seconds
Guesses: 11970472, Time: 0.278889 seconds
Guesses: 12115434, Time: 0.280073 seconds
Guesses: 12125208, Time: 0.28064 seconds
Guesses: 12163345, Time: 0.281116 seconds
Guesses: 12165435, Time: 0.281357 seconds
Guesses: 12336120, Time: 0.282709 seconds
Guesses: 12336220, Time: 0.283338 seconds
Guesses: 12336272, Time: 0.283865 seconds
Guesses: 12338362, Time: 0.284142 seconds
Guesses: 12338414, Time: 0.284427 seconds
Guesses: 12348188, Time: 0.284959 seconds
Guesses: 12350278, Time: 0.285212 seconds
Guesses: 12360052, Time: 0.285517 seconds
Guesses: 12362142, Time: 0.285756 seconds
Guesses: 12371916, Time: 0.286043 seconds
Guesses: 12381690, Time: 0.286332 seconds
Guesses: 12381790, Time: 0.286576 seconds
Guesses: 12526752, Time: 0.287741 seconds
Guesses: 12536526, Time: 0.288214 seconds
Guesses: 12536626, Time: 0.288475 seconds
Guesses: 12546400, Time: 0.288764 seconds
Guesses: 12717085, Time: 0.290018 seconds
Guesses: 12717185, Time: 0.290419 seconds
Guesses: 12862147, Time: 0.291599 seconds
Guesses: 12871921, Time: 0.293756 seconds
Guesses: 12874899, Time: 0.293916 seconds
Guesses: 12874909, Time: 0.29415 seconds
Guesses: 12875909, Time: 0.294392 seconds
Guesses: 12876909, Time: 0.294682 seconds
Guesses: 12877909, Time: 0.294948 seconds
Guesses: 12878909, Time: 0.295185 seconds
Guesses: 12878919, Time: 0.29541 seconds
Guesses: 12879019, Time: 0.295668 seconds
Guesses: 12879119, Time: 0.295906 seconds
Guesses: 12879129, Time: 0.296136 seconds
Guesses: 12879229, Time: 0.296365 seconds
Guesses: 12879239, Time: 0.29659 seconds
Guesses: 12880239, Time: 0.296844 seconds
Guesses: 12881239, Time: 0.297078 seconds
Guesses: 12881249, Time: 0.297304 seconds
Guesses: 12882249, Time: 0.297547 seconds
Guesses: 12882259, Time: 0.297797 seconds
Guesses: 12882359, Time: 0.298025 seconds
Guesses: 12883359, Time: 0.298262 seconds
Guesses: 12883459, Time: 0.298494 seconds
